Designator,Manufacturer Part Number,Quantity
"C14, C15, C19, C20, C24, C25",CC0603KRX7R9BB104,6
"R1, R2, R15, R16",RC1206FR-071KL,4
"C2, C3, C21, C22",C1206C105K1RACTU,4
"R25, R32, R33",ERA6AEB103V,3
"C1, C16",ECP-U1C104MA5,2
"R17, R26",RC0603FR-071KL,2
"R7, R8",CRCW060320R0FKEA,2
"X1, X2",P125-1104A0BS116A1,2
"R18, R27",RC0603FR-0730KL,2
"C4, C17",CC0603JRNPO9BN300,2
"R3, R22",RC0603FR-07330RL,2
"R24, R28",CRCW08055K11FKEA,2
"IC1, IC2",AD8039ARZ,2
"D3, D4",BAS70-04-E3-08,2
"X4, X5",MM8130-2600RB8,2
R9,CRG1206ZR,1
L1,744235601,1
C6,TR3C107K010C0100,1
C8,CC0603KRX7R9BB103,1
C7,CC0603KRX7R8BB105,1
C11,CC0603KRX7R6BB225,1
X3,P125-1102A0BS116A1,1
IC3,LP2985IM5-3.3/NOPB,1
LED1,19-217-BHC-ZL1M2RY-3T,1
R4,NCP15XH103F03RC,1
